Game,Home,Away,Home,Away
466,E2,D3,,
467,E3,D3,,
468,E4,D3,,
469,E5,D3,,
470,F1,D3,,
471,F2,D3,,
472,F3,D3,,
473,F4,D3,,
474,F5,D3,,
475,D5,D4,,
476,E1,D4,,
477,E2,D4,,
478,E3,D4,,
479,E4,D4,,
480,E5,D4,,
481,F1,D4,,
482,F2,D4,,
483,F3,D4,,
484,F4,D4,,
485,F5,D4,,
486,E1,D5,,
487,E2,D5,,
488,E3,D5,,
489,E4,D5,,
490,E5,D5,,
491,F1,D5,,
492,F2,D5,,
493,F3,D5,,
494,F4,D5,,
495,F5,D5,,
496,E2,E1,,
497,E3,E1,,
498,E4,E1,,
499,E5,E1,,
500,F1,E1,,
501,F2,E1,,
502,F3,E1,,
503,F4,E1,,
504,F5,E1,,
505,E3,E2,,
506,E4,E2,,
507,E5,E2,,
508,F1,E2,,
509,F2,E2,,
510,F3,E2,,
511,F4,E2,,
512,F5,E2,,
513,E4,E3,,
514,E5,E3,,
515,F1,E3,,
516,F2,E3,,
517,F3,E3,,
518,F4,E3,,
519,F5,E3,,
520,E5,E4,,
521,F1,E4,,
522,F2,E4,,
523,F3,E4,,
524,F4,E4,,
525,F5,E4,,
526,F1,E5,,
527,F2,E5,,
528,F3,E5,,
529,F4,E5,,
530,F5,E5,,
531,F2,F1,,
532,F3,F1,,
533,F4,F1,,
534,F5,F1,,
535,F3,F2,,
536,F4,F2,,
537,F5,F2,,
538,F4,F3,,
539,F5,F3,,
540,F5,F4,,
